Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
32.046,7.081,1.824,9.316,31.469,9.01,2.189,2.851,5.904,6.365,6.058,2.095,2.535,3.527,5.592,2.439,1.068,1.561,2.648,2.182,1.396,0.642,1.387,6.509,2.421,1
39.9,10.86,4.216,14.68,38.792,9.752,4.412,3.645,6.782,10.131,8.431,2.056,3.593,4.326,3.972,2.674,1.39,1.849,2.551,2.626,1.482,0.737,1.886,7.058,2.87,1
46.435,14.074,6.055,18.756,50.244,10.215,6.084,4.477,7.609,13.761,9.823,2.002,4.332,4.743,3.607,3.076,1.72,2.06,2.789,2.972,1.5,0.808,1.949,6.385,2.896,1
59.693,21.275,16.749,24.918,77.772,11.939,9.146,7.927,7.952,21.379,11.41,1.728,6.037,4.887,4.332,4.042,2.317,2.762,3.284,3.407,1.545,1.03,1.679,4.112,2.601,1
61.682,23.424,40.625,25.435,84.436,12.558,9.721,13.832,7.239,23.31,10.834,1.545,8.722,4.508,5.164,4.179,2.386,3.905,3.252,3.322,1.567,1.185,1.505,3.16,2.396,1
48.348,23.952,158.137,19.62,71.124,11.445,8.432,39.968,5.21,20.587,7.188,1.943,21.524,3.155,6.725,3.267,2.13,9.028,2.528,2.621,1.507,1.453,1.569,2.295,2.047,1
34.513,26.875,294.913,10.952,38.411,10.783,6.942,67.995,3.891,12.511,4.679,4.705,36.046,2.262,7.491,1.998,2.314,14.507,1.692,1.866,1.327,1.525,2.135,1.98,1.703,1
44.694,30.12,318.612,7.729,24.729,13.617,7.112,71.789,3.51,8.904,6.036,6.604,38.138,2.217,7.391,1.999,2.729,15.195,1.51,1.672,1.329,1.504,2.336,1.762,1.517,1
97.868,33.49,236.857,4.776,12.204,24.486,8.163,51.966,2.75,5.491,13.075,8.821,28.037,2.371,5.971,3.395,3.411,11.295,1.555,1.625,1.68,1.431,2.161,1.45,1.247,1
137.072,25.17,85.383,4.195,12.499,30.189,7.231,19.177,1.951,5.726,17.958,7.296,11.19,2.103,3.742,4.576,2.813,4.956,1.571,1.726,2.158,1.333,1.488,1.526,1.281,1
130.318,18.933,34.687,3.963,13.163,27.874,5.898,8.701,1.77,6.156,17.334,5.844,5.926,1.873,2.803,4.44,2.173,2.839,1.515,1.781,2.291,1.357,1.217,1.672,1.429,1
74.49,12.29,3.235,3.794,12.906,15.404,3.635,2.53,2.025,7.03,10.761,3.825,3.269,1.506,1.701,2.986,1.24,1.257,1.438,1.997,2.366,1.906,0.987,2.146,1.88,1
20.567,14.123,2.228,4.862,9.353,4.421,3.309,2.514,2.999,7.761,3.833,3.792,3.016,1.325,1.648,1.682,1.442,0.939,1.478,2.584,2.402,2.996,0.869,2.792,2.275,1
8.4,16.686,2.58,6.089,7.51,2.186,3.654,2.711,3.451,7.807,2.144,4.245,2.451,1.231,2.067,1.452,1.868,0.886,1.484,2.953,2.353,3.413,0.786,2.985,2.322,1
8.051,23.682,6.298,10.792,7.402,1.943,4.878,3.098,3.911,6.87,1.739,5.598,1.454,1.04,3.85,1.433,2.803,1.033,1.38,3.335,1.856,3.356,0.648,2.647,1.998,1
12.357,27.323,9.712,14.338,9.944,2.305,5.62,3.14,4.018,6.05,2.081,6.345,1.42,1.001,4.82,1.459,3.127,1.188,1.292,3.208,1.443,2.907,0.624,2.145,1.693,1
22.049,30.35,16.504,20.359,18.878,2.719,6.279,2.835,4.117,4.48,2.816,7.012,2.087,1.132,5.556,1.622,3.148,1.446,1.147,2.514,0.771,1.791,0.666,1.132,1.147,1
35.594,23.278,18.104,21.422,27.051,4.843,4.764,2.139,3.639,3.506,5.267,5.615,2.474,1.321,4.455,2.333,2.389,1.421,1.014,1.976,0.732,1.083,0.778,0.77,0.927,1
45.256,17.051,16.238,19.864,28.712,7.721,3.555,1.795,3.042,3.196,7.922,4.38,2.312,1.319,3.656,2.941,1.927,1.28,0.93,1.904,0.925,0.924,0.828,0.796,0.897,1
69.567,11.356,12.453,18.676,29.015,18.613,3.031,2.979,3.81,5.857,15.515,2.949,2.479,2.015,3.505,4.365,1.672,1.278,1.19,2.251,1.417,0.872,0.913,0.955,0.928,1
88.824,22.53,19.682,30.517,39.793,27.396,6.574,6.953,8.64,12.172,20.099,4.33,4.067,4.056,5.925,5.374,2.461,1.978,2.139,3.175,1.708,1.06,1.072,1.175,1.179,1
146.23,82.666,65.762,95.229,103.519,47.553,23.789,23.187,29.309,35.603,28.701,12.056,11.085,12.546,17.083,8.327,6.225,5.344,6.197,7.23,2.521,2.068,1.889,2.253,2.566,1
189.357,145.369,118.723,166.517,176.585,55.653,40.909,37.394,48.052,54.207,30.891,19.121,17.246,19.989,27.492,10.57,9.681,8.636,9.889,11.289,3.23,3.262,2.816,3.588,4.195,1
184.026,151.233,125.604,175.36,184.859,51.1,42.631,37.825,49.521,54.134,28.031,19.303,17.303,20.202,28.068,10.333,9.772,8.87,10.049,11.692,3.255,3.461,2.934,3.882,4.476,1
114.599,100.159,88.338,122.734,124.843,30.053,30.339,24.823,35.895,36.801,16.645,13.226,11.437,13.609,19.378,7.104,6.639,6.263,6.977,8.819,2.579,2.845,2.277,3.475,3.701,1
57.042,54.811,50.964,77.114,55.946,18.42,20.19,13.22,24.264,23.402,8.879,8.806,6.359,7.411,10.623,4.035,3.603,3.327,4.017,5.469,1.9,2.071,1.359,2.846,2.589,1
62.195,63.367,54.678,88.438,51.374,21.243,22.868,13.624,25.188,24.6,9.341,9.832,6.719,7.28,10.365,3.775,3.476,2.933,3.929,5.031,1.867,2.022,1.167,2.804,2.379,1
107.782,110.388,83.948,140.658,80.217,32.518,34.398,20.051,31.086,32.074,14.55,13.951,10.19,9.875,14.249,4.559,4.75,3.446,5.13,5.526,2.071,2.233,1.21,2.896,2.328,1
